symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
LINK,sell,2026-02-22 19:00:00+00:00,8.631264971305175,2026-02-23 01:00:00+00:00,8.286329483456884,77.57246171897553,26.75749492662771,26.298175578978487,0.45931934764922433,105,take_profit
SOL,sell,2026-02-22 19:00:00+00:00,83.17100758781538,2026-02-23 01:00:00+00:00,79.84698180745941,6.916677819839182,22.99121538756175,22.59657493790159,0.39464044966015965,105,take_profit
ARB,sell,2026-02-22 19:00:00+00:00,0.09397662291154218,2026-02-23 01:00:00+00:00,0.09022073432698333,6106.551622201279,22.935527528845164,22.541843365042034,0.39368416380313054,105,take_profit
AVAX,sell,2026-02-22 20:00:00+00:00,8.81446454169187,2026-02-23 01:00:00+00:00,8.462201475459333,73.02258409369686,25.72315937706891,25.28160348838722,0.4415558886816905,104,take_profit
ARB,sell,2026-02-23 02:00:00+00:00,0.08889543754597388,2026-02-23 03:00:00+00:00,0.09067804594483356,13167.678112664697,-23.47281359711677,-24.300411004694816,0.8275974075780462,100,stop_loss
ARB,sell,2026-02-23 04:00:00+00:00,0.09006504973232253,2026-02-23 05:00:00+00:00,0.09187144982236012,14905.08167929402,-26.924540887494324,-27.87366254630068,0.9491216588063549,100,stop_loss
AVAX,sell,2026-02-23 02:00:00+00:00,8.356685076459812,2026-02-23 06:00:00+00:00,8.524246179435812,131.0952133144557,-21.96645853784423,-22.741011214694794,0.7745526768505644,103,stop_loss
ARB,sell,2026-02-23 06:00:00+00:00,0.09124526016064392,2026-02-23 06:00:00+00:00,0.09307504772658233,13141.535358409614,-24.046217996157832,-24.894005485796793,0.8477874896389609,111,stop_loss
SOL,sell,2026-02-23 02:00:00+00:00,77.90808787496813,2026-02-23 07:00:00+00:00,79.47027940259369,14.382350761748846,-22.467986507343035,-23.26020072331251,0.7922142159694767,104,stop_loss
LINK,sell,2026-02-23 03:00:00+00:00,8.219150038039976,2026-02-23 09:00:00+00:00,8.383996528829034,162.03805861405974,-26.711405336799455,-27.653024142380836,0.9416188055813812,105,stop_loss
DOGE,sell,2026-02-22 21:00:00+00:00,0.09478677093848084,2026-02-23 10:00:00+00:00,0.09668686263132927,9332.632676687117,-17.732857821378943,-18.35829098713128,0.6254331657523369,112,stop_loss
AVAX,sell,2026-02-24 07:00:00+00:00,8.23129727244223,2026-02-24 16:00:00+00:00,8.396235055331355,73.02450486096787,-12.04449992834412,-12.46947575586188,0.42497582751776003,108,stop_loss
